id,FIRMA,Adresse,PLZ,Stadt,Marke/Hersteller,Standort,quell_lat,quell_lon,lat,lon,koordinatenstatus
defi_4268aed55aaa1225f7db,"Landespolizeidirektion Oberösterreich, Sonderdienste",Nietzschestraße 33,4020,Linz,Fred Easy,Sektor III,48.30607000000000,14.30578000000000,48.30607000000000,14.30578000000000,plausibel
defi_05903b1bf7c272f808f6,"Landespolizeidirektion Oberösterreich, Sonderdienste",Nietzschestraße 33,4020,Linz,Fred Easy,Sektor I,48.30607000000000,14.30578000000000,48.30607000000000,14.30578000000000,plausibel
defi_1f8d0e1ecd693a06f7fd,OÖVP,Obere Donaulände 7-9,4020,Linz,Lifepak CR+,EG Empfang,48.30641600000000,14.28448400000000,48.30641600000000,14.28448400000000,plausibel
defi_5060e579c4d56471eb36,OÖ Landes-Kultur GmbH,OK-Platz 1,4020,Linz,Heartstart FRx,2.OG Gang links/U-HOF,48.30243300000000,14.29043300000000,48.30243300000000,14.29043300000000,plausibel
defi_09f3a20879c89e9b1177,OÖ Landes-Kultur GmbH,OK-Platz 1,4020,Linz,Heartstart FRx,1.OG Gang links/U-HOF,48.30234600000000,14.29065400000000,48.30234600000000,14.29065400000000,plausibel
defi_b4752ebb1c7ed0b970a7,OÖ Landes-Kultur GmbH,OK-Platz 1,4020,Linz,Heartstart FRx,OK OÖ Kulturquartier Infopoint,48.30300500000000,14.29071100000000,48.30300500000000,14.29071100000000,plausibel
defi_5d9a7829797ce943028f,OÖ Landes-Kultur GmbH,OK-Platz 1,4020,Linz,Heartstart HS1,"OÖ Kulturquartier, 2OG Arenagebäude D5",48.30270000000000,14.29107000000000,48.30270000000000,14.29107000000000,plausibel
defi_fa4116935d21a0b47bdd,Wasserrettung Plesching -  KEIN JÄHRLICHES SERVICE,Seeweg 11,4040,Plesching,Lifepak CR+,Pleschinger See,48.31915500000000,14.33002700000000,48.31915500000000,14.33002700000000,plausibel
defi_83a4214c2114515e05ee,LITEC HTBLA Paul-Hahn-Straße,Paul-Hahn-Straße 4,4020,Linz,Lifepak CR+,1. OG Sekretariat,48.30627400000000,14.31084200000000,48.30627400000000,14.31084200000000,plausibel
defi_23c55082937cdf7924e3,ASKÖ Kleinmünchen,Pestalozzistraße 79,4030,Linz,Heartstart FRx,Haupteingang neben Stiegenaufgang und Getränkeautomat,48.25651800000000,14.31177200000000,48.25651800000000,14.31177200000000,plausibel
defi_cf486147cba6c6072157,Netural GmbH,Peter-Behrens-Platz 2,4020,Linz,Lifepak CR+,2. Stock Garderobe,48.31261500000000,14.29865800000000,48.31261500000000,14.29865800000000,plausibel
